"","choice","countries","sanctions"
"56425","Supported","160 of 192","15%"
"56433","Supported","80 of 192","None"
"56441","Supported","80 of 192","20%"
"56449","Not supported","20 of 192","20%"
"56457","Supported","160 of 192","5%"
"56465","Supported","80 of 192","5%"
"56473","Supported","80 of 192","None"
"56481","Supported","80 of 192","15%"
"56489","Not supported","20 of 192","15%"
"56497","Supported","160 of 192","20%"
"56505","Not supported","160 of 192","15%"
"56513","Supported","160 of 192","5%"
"56521","Not supported","20 of 192","5%"
"56529","Supported","20 of 192","None"
"56537","Supported","20 of 192","5%"
"56545","Supported","160 of 192","None"
"56553","Not supported","20 of 192","15%"
"56561","Supported","80 of 192","20%"
"56569","Supported","20 of 192","5%"
"56577","Not supported","20 of 192","20%"
"56585","Supported","80 of 192","15%"
"56593","Not supported","80 of 192","None"
"56601","Not supported","20 of 192","5%"
"56609","Not supported","20 of 192","None"
"56617","Not supported","160 of 192","15%"
"56625","Not supported","160 of 192","20%"
"56633","Not supported","20 of 192","15%"
"56641","Not supported","80 of 192","5%"
"56649","Not supported","80 of 192","5%"
"56657","Supported","80 of 192","20%"
"56665","Not supported","160 of 192","5%"
"56673","Not supported","20 of 192","15%"
"56681","Supported","20 of 192","15%"
"56689","Supported","80 of 192","5%"
"56697","Not supported","80 of 192","None"
"56705","Supported","160 of 192","15%"
"56713","Not supported","80 of 192","5%"
"56721","Not supported","80 of 192","None"
"56729","Not supported","160 of 192","None"
"56737","Supported","80 of 192","15%"
"56745","Not supported","20 of 192","5%"
"56753","Not supported","80 of 192","15%"
"56761","Not supported","160 of 192","15%"
"56769","Not supported","80 of 192","None"
"56777","Not supported","160 of 192","20%"
"56785","Not supported","20 of 192","20%"
"56793","Not supported","20 of 192","5%"
"56801","Not supported","160 of 192","5%"
"56809","Not supported","20 of 192","20%"
"56817","Not supported","160 of 192","15%"
"56825","Supported","20 of 192","15%"
"56833","Supported","160 of 192","5%"
"56841","Supported","20 of 192","15%"
"56849","Not supported","160 of 192","15%"
"56857","Supported","160 of 192","15%"
"56865","Not supported","160 of 192","5%"
"56873","Supported","160 of 192","20%"
"56881","Supported","160 of 192","15%"
"56889","Supported","20 of 192","5%"
"56897","Supported","80 of 192","5%"
"56905","Supported","160 of 192","15%"
"56913","Supported","20 of 192","15%"
"56921","Not supported","80 of 192","15%"
"56929","Supported","160 of 192","15%"
"56937","Not supported","20 of 192","5%"
"56945","Not supported","20 of 192","15%"
"56953","Not supported","160 of 192","None"
"56961","Not supported","160 of 192","20%"
"56969","Supported","80 of 192","20%"
"56977","Not supported","80 of 192","5%"
"56985","Supported","160 of 192","5%"
"56993","Supported","20 of 192","20%"
"57001","Supported","160 of 192","5%"
"57009","Not supported","80 of 192","None"
"57017","Not supported","160 of 192","15%"
"57025","Not supported","80 of 192","15%"
"57033","Not supported","160 of 192","20%"
"57041","Not supported","160 of 192","None"
"57049","Not supported","80 of 192","20%"
"57057","Not supported","160 of 192","15%"
"57065","Not supported","160 of 192","None"
"57073","Supported","160 of 192","20%"
"57081","Not supported","20 of 192","5%"
"57089","Supported","160 of 192","5%"
"57097","Not supported","80 of 192","5%"
"57105","Supported","80 of 192","None"
"57113","Not supported","160 of 192","5%"
"57121","Not supported","80 of 192","5%"
"57129","Supported","80 of 192","None"
"57137","Not supported","160 of 192","15%"
"57145","Not supported","20 of 192","15%"
"57153","Not supported","20 of 192","15%"
"57161","Supported","160 of 192","5%"
"57169","Not supported","80 of 192","5%"
"57177","Supported","20 of 192","20%"
"57185","Supported","20 of 192","20%"
"57193","Supported","160 of 192","5%"
"57201","Not supported","80 of 192","20%"
"57209","Supported","80 of 192","None"
"57217","Supported","20 of 192","None"
"57225","Not supported","20 of 192","5%"
"57233","Not supported","160 of 192","5%"
"57241","Supported","160 of 192","None"
"57249","Supported","160 of 192","15%"
"57257","Supported","80 of 192","None"
"57265","Supported","160 of 192","20%"
"57273","Not supported","20 of 192","15%"
"57281","Supported","20 of 192","5%"
"57289","Not supported","160 of 192","5%"
"57297","Not supported","160 of 192","5%"
"57305","Not supported","160 of 192","None"
"57313","Supported","160 of 192","None"
"57321","Supported","20 of 192","5%"
"57329","Supported","160 of 192","5%"
"57337","Supported","80 of 192","15%"
"57345","Supported","20 of 192","20%"
"57353","Not supported","160 of 192","None"
"57361","Not supported","80 of 192","15%"
"57369","Supported","160 of 192","5%"
"57377","Supported","20 of 192","20%"
"57385","Supported","20 of 192","5%"
"57393","Supported","160 of 192","5%"
"57401","Supported","160 of 192","5%"
"57409","Supported","20 of 192","None"
"57417","Not supported","20 of 192","5%"
"57425","Supported","20 of 192","5%"
"57433","Supported","80 of 192","15%"
"57441","Supported","80 of 192","5%"
"57449","Supported","160 of 192","None"
"57457","Supported","80 of 192","5%"
"57465","Not supported","160 of 192","None"
"57473","Supported","80 of 192","20%"
"57481","Not supported","80 of 192","15%"
"57489","Not supported","20 of 192","15%"
"57497","Not supported","160 of 192","15%"
"57505","Not supported","160 of 192","15%"
"57513","Not supported","160 of 192","None"
"57521","Supported","80 of 192","5%"
"57529","Supported","20 of 192","5%"
"57537","Supported","80 of 192","15%"
"57545","Supported","20 of 192","15%"
"57553","Supported","160 of 192","20%"
"57561","Supported","20 of 192","15%"
"57569","Supported","160 of 192","20%"
"57577","Supported","20 of 192","15%"
"57585","Not supported","160 of 192","5%"
"57593","Supported","160 of 192","20%"
"57601","Supported","80 of 192","5%"
"57609","Not supported","160 of 192","None"
"57617","Supported","160 of 192","15%"
"57625","Supported","20 of 192","None"
"57633","Not supported","80 of 192","None"
"57641","Supported","20 of 192","None"
"57649","Not supported","80 of 192","15%"
"57657","Supported","80 of 192","20%"
"57665","Not supported","20 of 192","5%"
"57673","Not supported","80 of 192","None"
"57681","Supported","80 of 192","20%"
"57689","Not supported","20 of 192","None"
"57697","Not supported","80 of 192","15%"
"57705","Not supported","20 of 192","15%"
"57713","Not supported","20 of 192","20%"
"57721","Supported","20 of 192","15%"
"57729","Supported","160 of 192","15%"
"57737","Not supported","20 of 192","None"
"57745","Supported","160 of 192","20%"
"57753","Supported","160 of 192","20%"
"57761","Not supported","20 of 192","20%"
"57769","Supported","80 of 192","20%"
"57777","Supported","20 of 192","None"
"57785","Not supported","80 of 192","5%"
"57793","Not supported","160 of 192","None"
"57801","Not supported","80 of 192","None"
"57809","Supported","160 of 192","20%"
"57817","Supported","20 of 192","None"
"57825","Not supported","20 of 192","None"
"57833","Supported","80 of 192","20%"
"57841","Not supported","20 of 192","15%"
"57849","Not supported","80 of 192","5%"
"57857","Not supported","160 of 192","20%"
"57865","Supported","80 of 192","None"
"57873","Supported","80 of 192","None"
"57881","Supported","160 of 192","15%"
"57889","Supported","80 of 192","5%"
"57897","Supported","80 of 192","15%"
"57905","Supported","80 of 192","None"
"57913","Supported","160 of 192","20%"
"57921","Supported","160 of 192","15%"
"57929","Supported","160 of 192","15%"
"57937","Supported","160 of 192","5%"
"57945","Not supported","80 of 192","20%"
"57953","Supported","20 of 192","15%"
"57961","Not supported","160 of 192","20%"
"57969","Supported","20 of 192","20%"
"57977","Supported","80 of 192","None"
"57985","Not supported","80 of 192","15%"
"57993","Not supported","160 of 192","15%"
"58001","Supported","20 of 192","15%"
"58009","Supported","160 of 192","5%"
"58017","Supported","160 of 192","5%"
"58025","Not supported","160 of 192","5%"
"58033","Not supported","20 of 192","15%"
"58041","Not supported","20 of 192","5%"
"58049","Not supported","80 of 192","15%"
"58057","Not supported","160 of 192","15%"
"58065","Not supported","160 of 192","15%"
"58073","Not supported","20 of 192","15%"
"58081","Not supported","20 of 192","15%"
"58089","Not supported","20 of 192","None"
"58097","Supported","20 of 192","5%"
"58105","Not supported","20 of 192","None"
"58113","Supported","160 of 192","5%"
"58121","Supported","80 of 192","15%"
"58129","Supported","160 of 192","20%"
"58137","Supported","20 of 192","5%"
"58145","Not supported","160 of 192","None"
"58153","Not supported","20 of 192","5%"
"58161","Supported","20 of 192","5%"
"58169","Supported","20 of 192","20%"
"58177","Not supported","20 of 192","20%"
"58185","Supported","20 of 192","20%"
"58193","Not supported","160 of 192","15%"
"58201","Not supported","160 of 192","15%"
"58209","Not supported","160 of 192","5%"
"58217","Not supported","20 of 192","None"
"58225","Not supported","80 of 192","20%"
"58233","Not supported","20 of 192","20%"
"58241","Supported","160 of 192","None"
"58249","Supported","20 of 192","5%"
"58257","Supported","20 of 192","15%"
"58265","Not supported","80 of 192","15%"
"58273","Supported","20 of 192","5%"
"58281","Not supported","80 of 192","None"
"58289","Supported","20 of 192","20%"
"58297","Supported","160 of 192","20%"
"58305","Not supported","160 of 192","20%"
"58313","Not supported","160 of 192","5%"
"58321","Not supported","20 of 192","5%"
"58329","Supported","20 of 192","5%"
"58337","Not supported","20 of 192","None"
"58345","Supported","20 of 192","15%"
"58353","Not supported","20 of 192","None"
"58361","Not supported","80 of 192","15%"
"58369","Not supported","80 of 192","20%"
"58377","Not supported","160 of 192","20%"
"58385","Not supported","160 of 192","None"
"58393","Supported","160 of 192","15%"
"58401","Not supported","20 of 192","None"
"58409","Supported","80 of 192","5%"
"58417","Supported","80 of 192","None"
"58425","Supported","160 of 192","5%"
"58433","Not supported","160 of 192","5%"
"58441","Not supported","20 of 192","15%"
"58449","Supported","20 of 192","None"
"58457","Supported","20 of 192","20%"
"58465","Not supported","80 of 192","5%"
"58473","Not supported","160 of 192","15%"
"58481","Supported","80 of 192","20%"
"58489","Supported","80 of 192","20%"
"58497","Supported","160 of 192","None"
"58505","Not supported","80 of 192","None"
"58513","Not supported","20 of 192","15%"
"58521","Supported","160 of 192","15%"
"58529","Supported","80 of 192","20%"
"58537","Supported","80 of 192","None"
"58545","Not supported","80 of 192","None"
"58553","Supported","160 of 192","20%"
"58561","Supported","160 of 192","20%"
"58569","Supported","80 of 192","5%"
"58577","Not supported","160 of 192","None"
"58585","Not supported","20 of 192","15%"
"58593","Supported","160 of 192","5%"
"58601","Supported","80 of 192","None"
"58609","Supported","160 of 192","5%"
"58617","Not supported","160 of 192","5%"
"58625","Supported","20 of 192","5%"
"58633","Not supported","80 of 192","5%"
"58641","Not supported","80 of 192","20%"
"58649","Supported","80 of 192","5%"
"58657","Not supported","20 of 192","20%"
"58665","Not supported","160 of 192","20%"
"58673","Supported","20 of 192","15%"
"58681","Supported","160 of 192","5%"
"58689","Not supported","20 of 192","None"
"58697","Not supported","80 of 192","15%"
"58705","Supported","160 of 192","15%"
"58713","Supported","80 of 192","None"
"58721","Not supported","20 of 192","None"
"58729","Supported","20 of 192","5%"
"58737","Not supported","160 of 192","5%"
"58745","Supported","160 of 192","15%"
"58753","Not supported","80 of 192","15%"
"58761","Supported","80 of 192","20%"
"58769","Supported","20 of 192","5%"
"58777","Supported","20 of 192","None"
"58785","Not supported","80 of 192","20%"
"58793","Supported","160 of 192","5%"
"58801","Not supported","80 of 192","None"
"58809","Not supported","160 of 192","20%"
"58817","Not supported","80 of 192","15%"
"58825","Not supported","20 of 192","15%"
"58833","Supported","20 of 192","5%"
"58841","Not supported","160 of 192","20%"
"58849","Not supported","160 of 192","20%"
"58857","Supported","160 of 192","15%"
"58865","Supported","160 of 192","5%"
"58873","Supported","160 of 192","5%"
"58881","Not supported","80 of 192","5%"
"58889","Supported","80 of 192","15%"
"58897","Supported","80 of 192","5%"
"58905","Supported","80 of 192","None"
"58913","Not supported","160 of 192","None"
"58921","Supported","80 of 192","15%"
"58929","Not supported","160 of 192","15%"
"58937","Not supported","20 of 192","None"
"58945","Supported","160 of 192","15%"
"58953","Not supported","20 of 192","None"
"58961","Supported","80 of 192","5%"
"58969","Not supported","160 of 192","None"
"58977","Supported","80 of 192","None"
"58985","Supported","160 of 192","None"
"58993","Not supported","160 of 192","20%"
"59001","Supported","80 of 192","5%"
"59009","Not supported","160 of 192","5%"
"59017","Supported","80 of 192","5%"
"59025","Not supported","20 of 192","15%"
"59033","Supported","80 of 192","None"
"59041","Supported","160 of 192","5%"
"59049","Supported","20 of 192","20%"
"59057","Not supported","160 of 192","20%"
"59065","Supported","160 of 192","20%"
"59073","Not supported","20 of 192","15%"
"59081","Supported","80 of 192","15%"
"59089","Supported","80 of 192","None"
"59097","Not supported","160 of 192","15%"
"59105","Supported","80 of 192","5%"
"59113","Supported","160 of 192","15%"
"59121","Not supported","160 of 192","20%"
"59129","Supported","160 of 192","None"
"59137","Supported","160 of 192","None"
"59145","Not supported","160 of 192","5%"
"59153","Supported","160 of 192","15%"
"59161","Not supported","160 of 192","None"
"59169","Not supported","160 of 192","None"
"59177","Supported","160 of 192","20%"
"59185","Not supported","20 of 192","15%"
"59193","Supported","80 of 192","15%"
"59201","Supported","20 of 192","20%"
"59209","Not supported","20 of 192","15%"
"59217","Supported","80 of 192","5%"
